id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Sunset Strings,Orchid Quartet,classical,nostalgic,0.22,64,0.50,0.30,0.95
12,Neon Streets,Beat Circuit,hip-hop,confident,0.85,100,0.70,0.88,0.15
13,Country Drive,Amber Road,country,heartfelt,0.55,98,0.66,0.60,0.35
14,Pixel Dream,Azure Pulse,electronic,dreamy,0.68,128,0.78,0.80,0.12
15,Lake House,Willow Lane,folk,calm,0.30,72,0.62,0.50,0.80
16,Sunlit Reggae,Mango Tide,reggae,laid-back,0.60,94,0.74,0.68,0.43
17,Midnight Confession,Luna Vale,rnb,romantic,0.58,88,0.76,0.65,0.52
18,Afternoon Laze,LoRoom,lofi,chill,0.33,76,0.62,0.55,0.82
19,Electric Storm,Iron Veil,metal,intense,0.96,168,0.32,0.58,0.08
20,Sunday Brunch,Smooth Trio,jazz,relaxed,0.40,92,0.73,0.56,0.88
21,Rooftop Party,Blaze Williams,hip-hop,confident,0.87,96,0.78,0.90,0.12
22,Velvet Rain,Luna Vale,rnb,romantic,0.50,85,0.80,0.62,0.58
23,Forest Walk,Cedar Root,folk,calm,0.25,68,0.68,0.44,0.91
24,Digital Ghost,Azure Pulse,electronic,dreamy,0.60,122,0.55,0.74,0.10
25,Warrior March,Orchid Quartet,classical,intense,0.78,136,0.42,0.35,0.60
26,Tropic Heat,Mango Tide,reggae,laid-back,0.55,90,0.80,0.72,0.45
27,Neon Pulse,Beat Circuit,synthwave,moody,0.80,116,0.44,0.76,0.15
28,City Blues,Amber Road,blues,heartfelt,0.45,84,0.54,0.52,0.72
29,Static Dreams,Orbit Bloom,ambient,dreamy,0.22,62,0.70,0.35,0.90
30,Midnight Run,Blaze Williams,hip-hop,intense,0.88,140,0.50,0.84,0.08
31,Slow Burn,Willow Lane,country,heartfelt,0.48,80,0.60,0.55,0.76
32,Ocean Waves,Paper Lanterns,ambient,chill,0.20,58,0.72,0.30,0.94
33,Club Anthem,Neon Echo,electronic,happy,0.92,130,0.88,0.92,0.05
34,Street Vibes,Max Pulse,hip-hop,confident,0.82,102,0.72,0.86,0.10
35,Golden Hour,Cedar Root,folk,nostalgic,0.35,74,0.75,0.58,0.85
36,Deep Focus,LoRoom,lofi,focused,0.36,82,0.54,0.56,0.80
37,Power Ballad,Voltline,rock,moody,0.70,120,0.45,0.60,0.28
38,Salsa Night,Fuego Libre,latin,happy,0.88,180,0.92,0.94,0.22
39,Soul Kitchen,Indigo Parade,soul,confident,0.72,108,0.82,0.80,0.40
40,Retro Wave,Neon Echo,synthwave,happy,0.78,112,0.82,0.78,0.18
41,Mountain Air,Willow Lane,folk,calm,0.22,66,0.65,0.40,0.92
42,Dark Undertow,Iron Veil,metal,intense,0.98,176,0.25,0.52,0.06
43,Late Night Thoughts,Luna Vale,rnb,moody,0.54,82,0.46,0.60,0.55
44,Dance Hall,Mango Tide,reggae,happy,0.65,96,0.85,0.78,0.40
45,Cello Suite,Orchid Quartet,classical,nostalgic,0.18,60,0.55,0.28,0.96
46,Trap Garden,Beat Circuit,trap,moody,0.80,140,0.42,0.82,0.08
47,Indie Summer,Indigo Parade,indie pop,happy,0.74,126,0.85,0.84,0.38
48,Sunday Drive,Amber Road,country,relaxed,0.45,88,0.70,0.62,0.68
49,Piano Rain,Slow Stereo,classical,relaxed,0.25,66,0.62,0.35,0.94
50,Flex Mode,Max Pulse,hip-hop,confident,0.90,104,0.68,0.88,0.07
51,Glass Garden,Azure Pulse,ambient,dreamy,0.18,56,0.68,0.28,0.95
52,Neon Jungle,Beat Circuit,electronic,intense,0.90,142,0.60,0.86,0.08
53,Broken Roads,Cedar Root,folk,heartfelt,0.32,70,0.50,0.48,0.88
54,Smooth Operator,Smooth Trio,jazz,confident,0.50,94,0.78,0.62,0.84
55,Summer Wave,Neon Echo,pop,happy,0.80,122,0.88,0.84,0.20
56,Fever Dream,Luna Vale,rnb,dreamy,0.58,90,0.70,0.68,0.50
57,Guitar Sunset,Cedar Root,folk,nostalgic,0.30,72,0.72,0.52,0.90
58,Basement Sessions,Voltline,rock,chill,0.55,96,0.60,0.65,0.35
59,Rainstorm Drift,Orbit Bloom,ambient,moody,0.30,64,0.38,0.32,0.88
60,Afro Groove,Fuego Libre,latin,happy,0.82,116,0.88,0.90,0.28
61,Thunderhead,Iron Veil,metal,intense,0.94,160,0.30,0.55,0.07
62,Blue Mood,Slow Stereo,blues,moody,0.38,76,0.40,0.48,0.78
63,Crunch Time,LoRoom,lofi,focused,0.44,84,0.52,0.58,0.76
64,Chasing Lights,Indigo Parade,indie pop,happy,0.78,120,0.84,0.80,0.32
65,Gravity Pull,Voltline,rock,intense,0.88,148,0.44,0.70,0.12
66,Tropicana Flow,Fuego Libre,latin,laid-back,0.65,104,0.86,0.88,0.30
67,Soul Revival,Indigo Parade,soul,uplifting,0.76,112,0.88,0.78,0.38
68,Heartland Highway,Amber Road,country,nostalgic,0.50,92,0.68,0.58,0.72
69,Cloud Drift,Orbit Bloom,ambient,relaxed,0.16,54,0.66,0.26,0.96
70,Midnight Hustle,Blaze Williams,trap,confident,0.84,145,0.55,0.88,0.06
71,Jazz Noir,Smooth Trio,jazz,moody,0.42,88,0.42,0.50,0.86
72,Daydream Cycle,Azure Pulse,electronic,dreamy,0.55,118,0.72,0.76,0.14
73,Pulse Check,Max Pulse,hip-hop,energetic,0.86,108,0.75,0.90,0.08
74,Old Oak Tree,Cedar Root,folk,calm,0.20,64,0.70,0.42,0.93
